avg_degree,avg_betweenness_centrality,diameter,girth,num_nodes,num_edges,k0_nullity,k0_low_lying_density,k0_trace,k0_spectral_moment_2,k0_quasi_wiener_index,k0_spanning_tree_number,k1_nullity,k1_low_lying_density,k1_trace,k1_spectral_moment_2,k1_quasi_wiener_index,k1_spanning_tree_number,k2_nullity,k2_low_lying_density,k2_trace,k2_spectral_moment_2,k2_quasi_wiener_index,k2_spanning_tree_number,graph_type,p,instance,epsilon
4.52,0.03772108843537415,6.0,3.0,50,113,1,5,226.0,1493.9999999999998,1101.0205057067212,57.10576612143626,44,53,285.99999999999994,1789.9999999999995,2564.0983549055154,72.24460429294075,0,2,60.000000000000014,216.0,200.99999999999983,16.11964325280458,erdos_renyi,0.1,2.0,
4.96,0.034336734693877546,6.0,3.0,50,124,1,5,247.99999999999991,1769.9999999999993,909.9353588630008,62.762566344472695,54,59,311.0,2027.0000000000005,1946.6218675591062,82.62547610205155,0,0,63.0,208.99999999999994,170.65714285714287,18.892725924177636,erdos_renyi,0.1,3.0,
5.0,0.02886054421768707,5.0,3.0,50,125,3,4,249.99999999999994,1791.9999999999993,695.7983785080372,64.42579068232924,47,51,345.99999999999994,2191.9999999999995,2305.053897002304,93.73732296043526,1,2,96.0,352.0,399.2066143449322,28.39418797722795,erdos_renyi,0.1,4.0,
5.44,0.031598639455782306,5.0,3.0,50,136,1,3,271.99999999999994,1981.9999999999995,717.3170050292628,70.16522026719598,51,56,379.99999999999994,2447.999999999999,2720.692023353215,103.12180272748064,0,0,108.0,370.0,519.6288866717256,33.20937052851572,erdos_renyi,0.1,5.0,
5.36,0.030306122448979587,5.0,3.0,50,134,1,3,268.0,1910.0000000000002,706.4949623640748,69.92909068156165,60,64,343.00000000000006,2221.0000000000005,1947.5908853274207,92.82026622908778,0,1,75.00000000000001,263.00000000000006,273.1551570279255,21.680344408419092,erdos_renyi,0.1,6.0,
5.36,0.03037414965986394,4.0,3.0,50,134,1,1,268.0,1934.0000000000007,656.5897807338926,70.54184456099073,57,62,352.0000000000001,2296.0000000000005,2191.765351262753,94.90453062878537,0,2,84.0,313.9999999999999,371.21955596488124,23.37192957976367,erdos_renyi,0.1,7.0,
4.2,0.039370748299319726,7.0,3.0,50,105,2,6,209.99999999999997,1266.0,1068.4397332757048,54.29931070011784,47,52,240.00000000000003,1394.0000000000002,1539.2419456097516,63.80496656991236,0,0,30.0,96.0,39.416666666666664,8.234878506913576,erdos_renyi,0.1,8.0,
6.04,0.02850340136054422,5.0,3.0,50,151,1,3,301.99999999999994,2432.0,663.8730942367125,75.38926463256166,62,70,431.0000000000001,3037.0000000000005,3140.4020416774392,112.3996727167109,3,6,129.0,509.0,728.851113205493,37.226448676725674,erdos_renyi,0.1,9.0,
5.12,0.03158163265306122,5.0,3.0,50,128,1,2,255.99999999999997,1776.0000000000002,731.0406935692132,67.60812674585246,60,62,313.0,1999.0000000000002,1582.971433442468,85.65982952536334,0,0,56.99999999999999,191.0,147.47412008281574,16.57389852508217,erdos_renyi,0.1,10.0,
4.96,0.031802721088435376,4.0,3.0,50,124,1,3,248.0,1659.9999999999998,766.5315361801869,65.65025357866502,58,62,302.0,1908.0000000000005,1641.0054445724325,81.39085329337838,1,1,54.0,184.0,104.1,16.113412703053935,erdos_renyi,0.1,11.0,
4.32,0.038299319727891155,7.0,3.0,50,108,1,6,216.00000000000003,1334.0000000000002,1019.1533020476546,56.32395297699089,48,54,249.00000000000003,1487.0000000000005,1723.9309087509598,64.99986367942346,0,0,33.0,105.0,48.0,9.194363417453042,erdos_renyi,0.1,12.0,
4.68,0.03498299319727891,6.0,3.0,50,117,1,5,234.00000000000003,1526.0000000000005,923.5724087771171,60.97762608536973,54,60,276.0,1706.0000000000002,1634.9780313843637,73.39131868177013,0,0,42.0,132.0,73.75,12.319172733282175,erdos_renyi,0.1,13.0,
4.92,0.032023809523809524,5.0,3.0,50,123,1,4,246.0,1716.0,824.310237821026,63.848915605407264,54,58,306.0,1983.9999999999998,3274.391990326463,79.4403437473426,0,1,60.0,204.0,171.07894736842107,17.278514732990878,erdos_renyi,0.1,14.0,
4.48,0.036615646258503394,6.0,3.0,50,112,1,4,224.00000000000006,1360.0000000000005,880.5941799312944,60.098326193253634,45,49,278.0,1554.0,1726.454625956699,77.5858284142145,0,0,53.99999999999999,177.99999999999997,129.4098277608916,15.79940016430348,erdos_renyi,0.1,15.0,
5.32,0.031241496598639455,5.0,3.0,50,133,1,2,266.0,1945.9999999999995,731.2996837414688,68.45495264009256,61,65,334.99999999999994,2278.9999999999995,2025.6833542332593,87.6304378414356,0,1,68.99999999999999,237.0,228.48017381857687,20.008264464690455,erdos_renyi,0.1,16.0,
4.52,0.03394557823129251,6.0,3.0,50,113,2,5,226.00000000000006,1482.0000000000005,938.0509788487825,58.509969931145484,48,53,276.9999999999999,1692.999999999999,1925.509087911194,73.17007361539135,0,1,51.00000000000001,179.00000000000003,127.5230769230769,14.114013869047639,erdos_renyi,0.1,17.0,
4.52,0.03574829931972789,6.0,3.0,50,113,1,4,225.99999999999994,1421.9999999999995,925.0448489272814,59.395151283909875,46,52,280.0,1652.0000000000002,1908.86084835775,75.17992489740276,0,0,53.99999999999999,181.99999999999997,135.09329004329004,15.486582118580158,erdos_renyi,0.1,18.0,
4.32,0.03345238095238095,5.0,3.0,50,108,2,6,216.00000000000003,1404.0000000000005,921.1125259118995,55.99487789484809,49,56,249.00000000000003,1559.0000000000002,1607.9665045595923,64.65420248965647,0,0,32.99999999999999,106.99999999999999,47.846153846153854,9.156623089470193,erdos_renyi,0.1,19.0,
7.92,0.02248299319727891,4.0,3.0,50,198,1,1,395.99999999999994,3830.000000000001,382.01170098067354,93.18257904173338,75,85,630.0000000000001,4934.000000000002,7022.788813286999,157.44607271925315,4,13,234.00000000000003,976.0,2975.2782168200265,65.34624427646081,erdos_renyi,0.15000000000000002,0.0,
7.08,0.024438775510204076,4.0,3.0,50,177,1,2,354.00000000000006,3204.000000000001,485.1144997676223,85.55508529071737,66,77,549.0,4141.000000000001,5681.3635977253525,137.6560625547329,3,10,195.0,793.0000000000001,2057.198652637006,54.825974767841835,erdos_renyi,0.15000000000000002,1.0,
7.04,0.024744897959183675,4.0,3.0,50,176,1,1,352.0,3166.0,477.84138099600654,85.33746213736147,65,72,547.0,4066.9999999999986,5439.485146737657,140.0130488012781,3,10,194.99999999999997,788.9999999999995,1937.6451568475475,55.47106739097429,erdos_renyi,0.15000000000000002,2.0,
7.12,0.024659863945578227,4.0,3.0,50,178,1,1,356.0,3271.9999999999995,464.77971935105194,86.01946004139407,67,76,553.9999999999999,4269.999999999999,5088.035755759798,140.41958801594416,4,8,198.00000000000003,806.0,1753.0762722109432,57.784819784002785,erdos_renyi,0.15000000000000002,3.0,
7.36,0.02251700680272109,4.0,3.0,50,184,2,2,367.99999999999994,3475.9999999999995,419.48023259514326,87.166824910014,64,75,605.0,4631.0,6739.283096750866,151.45457542073456,7,16,236.99999999999994,1027.0,2889.8167282271056,65.74129398418309,erdos_renyi,0.15000000000000002,4.0,
8.36,0.021989795918367343,4.0,3.0,50,209,1,2,418.00000000000006,4216.000000000001,396.1353327270918,95.21818403272337,57,78,742.0,6046.0,20500.539508123766,166.59538110296356,5,21,323.99999999999994,1429.9999999999998,7739.318179753733,83.13303765290394,erdos_renyi,0.15000000000000002,5.0,
8.28,0.02198979591836735,4.0,3.0,50,207,1,1,414.00000000000006,4160.000000000002,371.73333675325756,95.26656628849886,74,88,675.0,5384.999999999999,7973.995034891665,166.45035764130373,3,15,261.0,1097.0000000000002,3924.9247376387652,72.00373554488132,erdos_renyi,0.15000000000000002,6.0,
8.4,0.021547619047619048,3.0,3.0,50,210,1,1,420.0,4338.0,362.07018136610634,95.88985269072779,71,88,699.0,5739.000000000001,14051.590093628125,162.9708445257519,3,17,279.0,1225.0,6363.527534070049,70.21326935749218,erdos_renyi,0.15000000000000002,7.0,
7.12,0.02431972789115646,4.0,3.0,50,178,1,1,356.00000000000006,3164.0000000000014,457.45419273028006,86.63144743996517,82,89,505.99999999999994,3929.9999999999986,4325.057825289179,125.84153868270133,3,7,149.99999999999997,605.9999999999999,1155.0875923327665,42.18091674793923,erdos_renyi,0.15000000000000002,8.0,
8.16,0.02238095238095238,4.0,3.0,50,204,1,1,408.00000000000006,4064.0000000000023,395.72418129211434,93.94314594628942,70,87,678.0,5575.999999999999,9345.919296365668,160.81743841251583,5,16,269.99999999999994,1192.0,4251.358385516789,72.53878792518475,erdos_renyi,0.15000000000000002,9.0,
6.84,0.024761904761904763,4.0,3.0,50,171,1,1,342.00000000000006,2986.000000000001,473.66515458382537,84.48835878977118,73,78,498.0,3681.9999999999986,3368.063676535793,130.60415640359267,3,6,156.0,616.0,1090.9493999765052,45.625816920232445,erdos_renyi,0.15000000000000002,10.0,
7.0,0.02425170068027211,4.0,3.0,50,175,1,1,349.99999999999994,3052.0,451.2800210774106,86.2106664246738,73,78,511.99999999999994,3796.0000000000005,4260.005016696594,131.629379133641,1,5,162.0,632.0,1416.97163171397,46.17121060965346,erdos_renyi,0.15000000000000002,11.0,
7.08,0.02433673469387755,4.0,3.0,50,177,1,1,353.99999999999994,3159.9999999999995,456.9182935022753,86.34401739102282,72,81,530.9999999999999,4086.9999999999986,4704.082156588619,133.64086115782214,3,9,177.0,718.9999999999999,1496.1929274376394,50.753558028396405,erdos_renyi,0.15000000000000002,12.0,
7.84,0.022653061224489793,4.0,3.0,50,196,1,1,392.0000000000001,3730.000000000003,386.4070396238595,92.69998843032742,61,74,656.0000000000001,5044.000000000004,8855.18745912367,161.73606217618573,2,13,264.0,1074.0,3945.785155709563,74.18285542846797,erdos_renyi,0.15000000000000002,13.0,
7.84,0.022636054421768706,4.0,3.0,50,196,1,1,392.00000000000006,3858.0000000000005,404.75986061036724,91.62329265691295,67,82,634.9999999999999,5048.999999999997,8534.267307485541,154.93227818754033,1,11,243.0,983.0,3496.646004800984,67.63857505711988,erdos_renyi,0.15000000000000002,14.0,
7.04,0.024948979591836732,4.0,3.0,50,176,1,1,352.0,3050.0,458.82580923466617,86.49638468983157,69,76,529.0,3864.9999999999995,4675.751685118423,136.42819478251633,1,5,177.0,670.9999999999998,1542.3160005958725,52.318103053785556,erdos_renyi,0.15000000000000002,15.0,
7.76,0.022738095238095238,4.0,3.0,50,194,1,1,388.0,3672.0,390.3742071709574,92.11164376815732,69,79,616.0,4668.0,6629.242053534567,156.29019071996643,0,8,227.99999999999997,899.9999999999998,3076.100169177599,64.41298106826763,erdos_renyi,0.15000000000000002,16.0,
6.76,0.025646258503401357,4.0,3.0,50,169,1,1,338.00000000000006,2960.0,508.85718196327247,83.01894232349473,76,79,473.0000000000001,3563.0000000000014,2999.1570218072648,123.17377959347141,1,4,135.0,523.0,924.0546088296319,38.662020409074344,erdos_renyi,0.15000000000000002,17.0,
6.64,0.025952380952380952,4.0,3.0,50,166,1,1,332.00000000000006,2820.0000000000005,502.2761426546891,82.53973217054688,59,68,509.0000000000001,3686.9999999999995,6358.707957526992,127.6479760893346,1,6,177.00000000000003,691.0000000000002,1627.033144066743,51.01712785906251,erdos_renyi,0.15000000000000002,18.0,
7.12,0.02448979591836734,4.0,3.0,50,178,1,2,356.0,3183.999999999999,478.0584235354352,86.25449511717727,72,83,527.0,4059.0,7550.371819090674,126.88925633307545,0,6,171.00000000000003,683.0000000000001,1889.4358756909448,46.73840997957494,erdos_renyi,0.15000000000000002,19.0,
10.08,0.018911564625850343,3.0,3.0,50,252,1,1,504.0000000000001,5976.000000000003,284.428125936964,106.18411759883243,49,86,990.0000000000001,8633.999999999998,88704.45695574713,199.791759452263,8,43,485.99999999999994,2401.9999999999995,28491.104457354035,104.51953949861665,erdos_renyi,0.2,0.0,
9.08,0.02010204081632653,3.0,3.0,50,227,1,1,454.00000000000006,5040.000000000001,332.7438862757687,99.87022946414926,56,82,850.0,7336.000000000001,22762.880144246803,189.88284296956826,10,31,396.0000000000001,1848.0,10005.955657694507,102.1932356270417,erdos_renyi,0.2,1.0,
9.64,0.01914965986394558,3.0,3.0,50,241,1,1,482.0,5480.000000000002,298.7614628887281,103.89963121098036,49,79,953.0000000000001,8113.000000000001,27139.78192322561,213.59378331908837,14,41,471.0000000000001,2281.0,14159.286243528184,119.45669776176888,erdos_renyi,0.2,2.0,
9.96,0.01865646258503401,3.0,3.0,50,249,1,1,498.0,5936.000000000001,287.4070599111846,105.45568942075114,42,79,1029.0,9327.000000000002,121205.76682133826,203.69670080326904,19,52,530.9999999999999,2782.9999999999986,23057.951501806936,122.67443796013336,erdos_renyi,0.2,3.0,
10.24,0.018520408163265306,3.0,3.0,50,256,1,1,511.99999999999994,6243.999999999999,299.3629038078429,106.02242404550195,50,87,1037.0,9338.999999999998,80971.06351635109,210.13179334036707,18,52,525.0000000000001,2678.999999999999,26519.108415291194,119.25507733812624,erdos_renyi,0.2,4.0,
10.4,0.01826530612244898,3.0,3.0,50,260,1,1,520.0,6276.000000000001,276.78459570222867,107.86927810747495,40,78,1078.0,9393.999999999998,90242.20393264585,219.42051227794497,15,51,558.0000000000001,2782.0,35868.30352697619,124.6828392939438,erdos_renyi,0.2,5.0,
10.52,0.018163265306122448,3.0,3.0,50,263,1,1,526.0,6464.000000000002,270.22248488835817,108.48476429026904,44,85,1069.0,9465.000000000004,81482.70617280372,218.51105675550872,11,48,542.9999999999999,2633.0,30580.14922094489,123.45424215246535,erdos_renyi,0.2,6.0,
10.68,0.01768707482993197,3.0,3.0,50,267,1,1,533.9999999999999,6625.999999999998,261.69537002992206,109.52933515557656,49,91,1080.0,9802.0,99147.77001595794,213.67363344650397,13,50,546.0000000000001,2760.0000000000005,35028.62817593581,120.01699412237414,erdos_renyi,0.2,7.0,
9.48,0.019523809523809523,3.0,3.0,50,237,1,1,473.99999999999994,5350.0,311.536397103063,102.60809055933119,70,96,852.0000000000001,7500.0,24493.882684469143,186.79330478548155,8,29,378.00000000000006,1766.0000000000002,10392.036803807145,94.85212258054764,erdos_renyi,0.2,8.0,
10.88,0.017670068027210883,3.0,3.0,50,272,1,1,543.9999999999999,6841.999999999998,259.4177035285026,110.37554689629307,32,81,1179.9999999999998,10941.999999999996,346327.86033536145,208.93213030413713,21,65,636.0,3347.9999999999995,55994.877938906044,132.18461558703055,erdos_renyi,0.2,9.0,
9.76,0.01914965986394558,4.0,3.0,50,244,1,1,487.99999999999994,5639.999999999998,302.5023568874503,104.14810165364821,51,86,947.0,8361.0,31782.402791468652,203.8147356514964,9,37,459.0,2161.0,16981.207691799398,112.30111353368927,erdos_renyi,0.2,10.0,
9.64,0.01913265306122449,3.0,3.0,50,241,1,1,482.00000000000017,5460.000000000003,299.7784774166878,103.9254658760662,62,92,890.0000000000001,7702.000000000001,26121.230023454613,193.91818862414314,6,32,408.0,1889.9999999999998,12774.375825837207,100.56458527089221,erdos_renyi,0.2,11.0,
9.52,0.019183673469387753,4.0,3.0,50,238,1,1,476.0,5290.0,301.7237428073742,103.48013514930612,57,90,890.0,7709.999999999999,39135.392559389686,187.1469067847859,6,32,413.99999999999994,1940.0,14056.071110716422,100.00526466384298,erdos_renyi,0.2,12.0,
9.88,0.018928571428571427,3.0,3.0,50,247,1,1,493.99999999999994,5677.999999999999,284.8606047692656,105.59964038125838,46,79,967.9999999999997,8287.999999999998,40270.31380481353,209.22149473780212,6,33,474.0,2146.0,18582.579409828086,117.5575939128464,erdos_renyi,0.2,13.0,
9.8,0.01925170068027211,3.0,3.0,50,245,1,1,490.00000000000006,5730.000000000001,302.9645727838475,104.16310578065858,42,83,972.9999999999998,8576.999999999996,67200.24412518517,192.54031276409788,7,41,483.00000000000006,2335.0,22411.12484869398,109.64254070949018,erdos_renyi,0.2,14.0,
9.36,0.019778911564625853,4.0,3.0,50,234,1,1,467.9999999999999,5079.999999999999,302.9790484599982,102.88570509432566,56,84,864.0,7202.000000000001,28151.264316328252,190.56278762350775,3,27,396.0000000000001,1770.0000000000005,12938.13762113283,98.31658451379637,erdos_renyi,0.2,15.0,
10.0,0.0186734693877551,3.0,3.0,50,250,1,1,500.00000000000006,5954.000000000002,292.26803413288417,105.35200750087249,44,80,1016.0,8891.999999999998,55460.128940414026,212.5156799134208,15,48,515.9999999999999,2601.999999999999,21846.15676264671,120.41563703887296,erdos_renyi,0.2,16.0,
8.92,0.020272108843537414,3.0,3.0,50,223,1,1,446.0000000000001,4826.000000000002,333.95966844960986,99.30497394862682,68,88,778.9999999999998,6605.000000000001,24289.749166830756,175.29581408743059,5,24,332.99999999999994,1539.0000000000005,10540.273226929807,80.42455884379021,erdos_renyi,0.2,17.0,
8.84,0.020561224489795915,4.0,3.0,50,221,1,1,441.9999999999999,4685.999999999998,339.05427665475884,98.89829255438389,51,80,813.9999999999999,6767.999999999998,26342.811550266506,176.40665979765015,3,26,372.0,1682.0,11078.861281459971,92.41322592789847,erdos_renyi,0.2,18.0,
9.4,0.019642857142857142,3.0,3.0,50,235,1,1,470.0,5234.000000000001,311.01325879560744,102.42594799008488,49,85,893.0,7826.999999999999,82082.45904278744,170.815169874447,4,34,423.0,2017.0,20466.524129963746,93.48099789525013,erdos_renyi,0.2,19.0,
12.08,0.016547619047619047,3.0,3.0,50,302,1,1,604.0,8360.0,229.83435786020732,115.8276336474212,1,67,1500.9999999999998,14387.000000000002,162706684.14878294,170.1744822805787,46,108,897.0,5322.999999999999,166560.35237847987,163.6419952301026,erdos_renyi,0.25,0.0,
11.28,0.01722789115646258,3.0,3.0,50,282,1,1,564.0,7510.0,254.8270801685227,111.64868741470754,15,72,1335.0,12637.000000000002,435876.4410404965,233.39301187967894,39,90,771.0,4407.0,67678.29082355171,159.56393230161538,erdos_renyi,0.25,1.0,
12.2,0.016156462585034014,3.0,3.0,50,305,1,1,610.0,8444.0,222.77014717685984,116.72274006510614,0,64,1552.0000000000002,14876.000000000002,54360067.086757936,229.69367177822414,56,117,942.0,5648.0,164585.37705443543,179.9399052608274,erdos_renyi,0.25,2.0,
12.32,0.016054421768707482,3.0,3.0,50,308,1,1,616.0000000000002,8836.000000000005,224.37410426708794,116.69495628432337,0,64,1600.0,15974.0,6564913.683608924,256.64883250361737,61,128,983.9999999999999,6129.999999999999,167703.34179827516,179.33998733529054,erdos_renyi,0.25,3.0,
12.28,0.01619047619047619,3.0,3.0,50,307,1,1,614.0,8657.999999999998,225.74712603259346,116.62791715526006,8,76,1511.0,14924.999999999995,33821835.270771235,199.19500718120287,49,112,897.0,5339.000000000001,200974.76657539062,164.16530695497008,erdos_renyi,0.25,4.0,
12.56,0.016326530612244896,3.0,3.0,50,314,1,1,628.0,8986.000000000002,227.20269840314148,117.52757789276093,1,65,1654.0000000000002,16250.000000000004,9217591.724118115,269.3094315843894,71,137,1026.0000000000002,6336.0,129284.12657285965,200.93487954311982,erdos_renyi,0.25,5.0,
12.76,0.015918367346938776,3.0,3.0,50,319,1,1,637.9999999999999,9308.0,217.1535577465523,118.54686672622384,0,64,1654.9999999999998,16318.999999999996,4418622.092064472,271.4697811593535,63,128,1017.0,6099.000000000002,146005.76893690033,197.88880473510773,erdos_renyi,0.25,6.0,
13.72,0.015153061224489797,3.0,3.0,50,343,1,1,685.9999999999999,10537.999999999998,193.94990945901574,122.93243792224506,0,67,1832.0000000000005,18528.000000000004,662976.4852917872,345.2142814059579,69,150,1145.9999999999998,7077.999999999998,271945.87018846296,202.32335962736062,erdos_renyi,0.25,7.0,
11.44,0.017006802721088437,3.0,3.0,50,286,1,1,572.0,7530.0,243.73747280618863,113.04127200492802,26,81,1271.0,11999.0,256999.55026007263,224.0741894843034,22,71,698.9999999999998,3668.9999999999986,66240.28134204468,145.95101498317487,erdos_renyi,0.25,8.0,
13.16,0.015680272108843537,3.0,3.0,50,329,1,1,658.0000000000001,9722.000000000005,205.45799581969894,120.6526951720324,0,67,1723.0,17381.000000000004,996112.9453972876,308.63770183660154,51,133,1064.9999999999998,6379.0,445694.48228441965,166.34735144557763,erdos_renyi,0.25,9.0,
11.64,0.016989795918367346,3.0,3.0,50,291,1,1,582.0000000000001,7786.0,242.01476678986188,113.7840268812895,20,71,1401.0000000000002,13078.999999999996,303757.0169969532,265.7468779778209,51,96,819.0,4749.000000000001,65571.9826525756,179.16171534552475,erdos_renyi,0.25,10.0,
12.4,0.016003401360544216,3.0,3.0,50,310,1,1,620.0,8636.0,216.04994964540595,117.84360895236097,20,90,1397.0,13804.999999999998,911597.9704148263,215.14946087747293,18,82,776.9999999999999,4192.999999999998,122079.93130089546,141.95701616319968,erdos_renyi,0.25,11.0,
11.88,0.016462585034013606,3.0,3.0,50,297,1,1,594.0,8018.000000000001,228.01866563710266,115.46532403042752,10,75,1398.0,13294.0,4499213.482598734,201.10848552734916,30,92,804.0,4523.999999999999,95871.21482800588,153.21065243298634,erdos_renyi,0.25,12.0,
